N_EXPEDIENT,CODI_DISTRICTE,DISTRICTE,CODI_BARRI,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,NUMERO_REGISTRE_GENERALITAT,NUMERO_PLACES,LONGITUD_X,LATITUD_Y
02-2011-0292,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,3,1,HUTB-003580,5,2.1535939024791606,41.377034748565052
02-2011-0293,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,3,2,HUTB-003581,5,2.1535939024791606,41.377034748565052
02-2011-0294,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,3,3,HUTB-003582,4,2.1535939024791606,41.377034748565052
10-2011-0241,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,1,201,,,,,,,3,1,HUTB-000816,6,2.1757409590330457,41.409678361139221
10-2011-0242,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,1,201,,203,,,,,1,4,HUTB-000820,5,2.1757409590330457,41.409678361139221
06-2011-0111,6,GRACIA,31,la Vila de Gràcia,Carrer,TORRIJOS,1,21,,,,,,,EN,,HUTB-001210,5,2.1577754099772788,41.401443527984
06-2011-0254,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,PARE LAINEZ,1,55,,,,,,,PR,2,HUTB-002630,3,2.1657295934513625,41.406116471529664
06-2011-0189,6,GRACIA,31,la Vila de Gràcia,Carrer,LEGALITAT,2,6,,,,,,,3,3,HUTB-000991,4,2.1581918589469855,41.405691522712985
10-2011-0300,10,SANT MARTI,64,el Camp de l'Arpa del Clot,Carrer,INDUSTRIA,1,201,,,,,,,3,4,HUTB-000817,4,2.1757409590330457,41.409678361139221
03-2011-0275,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,BLESA,1,31,,,,,,,3,1,HUTB-004025,5,2.1669941931506616,41.37039613722586
02-2011-0295,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,3,4,HUTB-003583,4,2.1535939024791606,41.377034748565052
02-2011-0296,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,4,1,HUTB-003584,5,2.1535939024791606,41.377034748565052
02-2011-0297,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,4,2,HUTB-003585,5,2.1535939024791606,41.377034748565052
02-2011-0298,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,4,3,HUTB-003586,4,2.1535939024791606,41.377034748565052
02-2011-0299,2,L'EIXAMPLE,,,Gran Via,CORTS CATALANES,2,454,,,,,,,4,4,HUTB-003587,4,2.1535939024791606,41.377034748565052
02-2011-0300,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,5,1,HUTB-003588,5,2.1535939024791606,41.377034748565052
02-2011-0301,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,5,2,HUTB-003589,5,2.1535939024791606,41.377034748565052
02-2011-0302,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,5,3,HUTB-003590,4,2.1535939024791606,41.377034748565052
02-2011-0303,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,5,4,HUTB-003591,4,2.1535939024791606,41.377034748565052
02-2011-0304,2,L'EIXAMPLE,10,Sant Antoni,Gran Via,CORTS CATALANES,2,454,,,,,,,6,1,HUTB-003592,10,2.1535939024791606,41.377034748565052
09-2011-0062,9,SANT ANDREU,63,Navas,Carrer,BOFARULL,1,7,,,,,,,3,2,HUTB-004031,5,2.1865861810892748,41.413539254914696
09-2011-0063,9,SANT ANDREU,63,Navas,Carrer,BOFARULL,1,7,,,,,,,4,1,HUTB-004032,6,2.1865861810892748,41.413539254914696
09-2011-0064,9,SANT ANDREU,63,Navas,Carrer,BOFARULL,1,7,,,,,,,4,2,HUTB-004033,5,2.1865861810892748,41.413539254914696
09-2011-0065,9,SANT ANDREU,63,Navas,Carrer,BOFARULL,1,7,,,,,,,5,2,HUTB-004034,5,2.1865861810892748,41.413539254914696
03-2011-0164,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,NOU DE LA RAMBLA,2,114,,116,,,,,1,1,HUTB-002498,8,2.1681837610061043,41.372532844355369
05-2011-0201,5,SARRIA-SANT GERVASI,27,el Putxet i el Farró,Carrer,SARAGOSSA,2,30,,,,,,,1,2,HUTB-001708,6,2.1482255335625147,41.40015866581971
06-2011-0190,6,GRACIA,31,la Vila de Gràcia,Carrer,ENCARNACIO,2,10,,,,,,,EN,,HUTB-003106,11,2.1573482007936473,41.403469245572829
06-2012-0021,6,GRACIA,31,la Vila de Gràcia,Carrer,SANT JOAQUIM,1,19,,21,,,,,BJ,3,HUTB-002219,6,2.1547247775392435,41.399282734499664
02-2011-0980,2,L'EIXAMPLE,10,Sant Antoni,Carrer,TAMARIT,1,89,,,,,,,3,2,HUTB-001788,6,2.1554572981869224,41.373622463992334
02-2011-0981,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,123,,,,,,,2,1,HUTB-003464,12,2.1513913414171819,41.379437450409377
02-2011-0986,2,L'EIXAMPLE,8,l'Antiga Esquerra de l'Eixample,Carrer,CONSELL DE CENT,1,221,,,,,,D,3,2,HUTB-003435,8,2.1567693940882533,41.383489592090811
02-2011-0987,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,ARAGO,1,95,,,,,,,4,1,HUTB-003758,6,2.1500925655248544,41.380163787862472
02-2011-0993,2,L'EIXAMPLE,5,el Fort Pienc,Gran Via,CORTS CATALANES,2,820,,,,,,,4,2,HUTB-003611,8,2.1830676021275188,41.399182542480979
02-2011-0996,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,LEPANT,1,293,,,,,,,3,1,HUTB-001003,6,2.1739078947598158,41.403716682206365
04-2011-0274,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,1,1,HUTB-000096,4,2.139646922210483,41.383362200754327
04-2011-0275,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,1,2,HUTB-000097,4,2.139646922210483,41.383362200754327
04-2011-0276,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,1,3,HUTB-000098,4,2.139646922210483,41.383362200754327
04-2011-0277,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,2,1,HUTB-000099,4,2.139646922210483,41.383362200754327
04-2011-0278,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,2,2,HUTB-000100,4,2.139646922210483,41.383362200754327
04-2011-0279,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,2,3,HUTB-000101,4,2.139646922210483,41.383362200754327
04-2011-0280,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,4,1,HUTB-000102,4,2.139646922210483,41.383362200754327
04-2011-0281,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,4,3,HUTB-000103,4,2.139646922210483,41.383362200754327
04-2011-0282,4,LES CORTS,19,les Corts,Carrer,EQUADOR,1,31,,,,,,,5,1,HUTB-000104,5,2.139646922210483,41.383362200754327
02-2011-1278,2,L'EIXAMPLE,6,la Sagrada Família,Carrer,SARDENYA,1,319,,,,,,,AT,1,HUTB-001719,4,2.1713788077190448,41.402045901180649
02-2011-1281,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,1,261,,,,,,,PR,1,HUTB-005297,13,2.1635135364454765,41.391969529294471
02-2011-1282,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,1,261,,,,,,,PR,2,HUTB-001280,11,2.1635135364454765,41.391969529294471
02-2011-1283,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,1,261,,,,,,,PR,3,HUTB-001281,10,2.1635135364454765,41.391969529294471
09-2011-0397,9,SANT ANDREU,60,Sant Andreu,Carrer,MOSSEN QUINTI MALLOFRE,2,22,,,,,,,1,,HUTB-002383,13,2.1924250128321363,41.428528968928788
03-2011-0328,3,SANTS-MONTJUÏC,11,el Poble Sec,Carrer,MARGARIT,2,40,,,,,,,2,2,HUTB-001110,7,2.1621481108118448,41.371100058727123
06-2012-0023,6,GRACIA,31,la Vila de Gràcia,Carrer,SANT JOAQUIM,1,19,,21,,,,,BJ,2,HUTB-002220,6,2.1547247775392435,41.399282734499664
05-2012-0060,5,SARRIA-SANT GERVASI,26,Sant Gervasi - Galvany,Via,AUGUSTA,1,153,,,,,,,4,1,HUTB-003865,4,2.1425376694351406,41.397128103516998
10-2011-0503,10,SANT MARTI,65,el Clot,Carrer,VALENCIA,1,635,,,,,,,EN,,HUTB-001401,4,2.1871269871159682,41.409697550589463
02-2011-1342,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,COMTE BORRELL,2,134,,140,,,,,2,2,HUTB-003388,9,2.1548464674184569,41.380701404208807
02-2011-1341,2,L'EIXAMPLE,6,la Sagrada Família,Avinguda,GAUDI,2,28,,28,,,,,PR,3,HUTB-000325,11,2.173460493607493,41.404773145655732
06-2011-0435,6,GRACIA,32,el Camp d'en Grassot i Gràcia Nova,Carrer,SARDENYA,1,415,,,,,,,3,,HUTB-001724,11,2.1662743131936226,41.405925525182973
10-2011-0460,10,SANT MARTI,68,el Poblenou,Passatge,PIQUER,2,2,,6,,,,,4,3,HUTB-002750,7,2.2058755531838306,41.400797878597587
02-2013-2217,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,NAPOLS,1,213,,,,,,,EN,2,HUTB-008084,3,2.1727377777419932,41.397600466591612
02-2013-2216,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,NAPOLS,1,213,,,,,,,EN,1,HUTB-008085,3,2.1727377777419932,41.397600466591612
07-2011-0152,7,HORTA-GUINARDÓ,35,el Guinardó,Carrer,AMILCAR,2,150,,,,,,,3,3,HUTB-003688,5,2.1716439883323249,41.420612917186588
02-2011-1382,2,L'EIXAMPLE,5,el Fort Pienc,Avinguda,DIAGONAL,1,299,B,,,,,,2,1,HUTB-003051,14,2.1727273271654912,41.397994415320142
02-2011-1383,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,CONSELL DE CENT,2,324,,,,,,,1,2,HUTB-003418,20,2.1661903494247525,41.39030228525565
02-2011-1384,2,L'EIXAMPLE,10,Sant Antoni,Carrer,MANSO,2,60,,,,,,,5,,HUTB-001094,5,2.1608084407531689,41.375686388418124
02-2011-1385,2,L'EIXAMPLE,9,la Nova Esquerra de l'Eixample,Carrer,DIPUTACIO,1,123,,125,,,,,PR,,HUTB-003224,24,2.1555778215734791,41.380884834168064
10-2012-0007,10,SANT MARTI,65,el Clot,Avinguda,MERIDIANA,1,109,,,,,,,1,1,HUTB-000081,8,2.1854619273945692,41.406019440646098
02-2011-1174,2,L'EIXAMPLE,7,la Dreta de l'Eixample,Carrer,VALENCIA,2,358,,,,,,I,2,1,HUTB-001296,9,2.1691302489704971,41.395913733297299
